sample_player,second,x_m,y_m,distance_step_m
Sample player 1,250.0,0.25,-3.03,1.18
Sample player 2,252.0,18.2,10.6,2.04
Sample player 3,252.0,3.1,-8.04,3.56
Sample player 1,252.0,-1.84,-1.06,2.87
Sample player 3,254.0,-0.76,-8.33,3.87
Sample player 1,254.0,-3.7,0.07,2.18
Sample player 6,256.0,12.42,7.83,12.02
Sample player 5,256.0,11.63,-2.7,9.51
Sample player 2,256.0,11.76,14.49,7.52
Sample player 3,256.0,-4.47,-6.07,4.34
Sample player 1,256.0,-5.37,3.87,4.15
Sample player 6,258.0,12.46,5.24,2.59
Sample player 5,258.0,14.09,-5.02,3.38
Sample player 2,258.0,11.1,13.08,1.56
Sample player 4,258.0,15.59,-13.09,8.81
Sample player 3,258.0,-5.46,-6.7,1.17
Sample player 1,258.0,-5.64,1.44,2.44
Sample player 6,260.0,21.47,1.25,9.85
Sample player 5,260.0,23.91,-5.18,9.82
Sample player 4,260.0,25.22,-20.4,12.09
Sample player 5,278.0,40.87,-0.89,17.49
Sample player 4,278.0,19.71,-28.43,9.74
Sample player 5,280.0,40.9,-2.14,1.25
Sample player 4,280.0,21.44,-31.32,3.37
Sample player 6,282.0,34.66,-13.15,19.53
Sample player 2,282.0,29.16,-2.43,23.81
Sample player 4,282.0,25.76,-34.1,5.14
Sample player 3,282.0,20.97,-31.62,36.33
Sample player 6,284.0,32.89,-13.74,1.87
Sample player 2,284.0,27.6,-2.22,1.57
Sample player 4,284.0,24.75,-32.91,1.56
Sample player 3,284.0,21.1,-28.23,3.39
Sample player 1,284.0,10.01,-23.28,29.26
Sample player 6,286.0,30.05,-13.34,2.87
Sample player 2,286.0,26.2,-1.63,1.52
Sample player 4,286.0,22.21,-30.56,3.46
Sample player 3,286.0,15.79,-24.53,6.47
Sample player 1,286.0,13.17,-30.35,7.74
Sample player 6,288.0,25.62,-11.49,4.8
Sample player 2,288.0,22.42,-1.61,3.78
Sample player 4,288.0,19.82,-28.44,3.19
Sample player 3,288.0,9.28,-21.55,7.16
Sample player 1,288.0,8.63,-30.37,4.54
Sample player 6,290.0,24.68,-10.76,1.19
Sample player 5,290.0,24.36,-18.19,23.05
Sample player 2,290.0,21.53,-2.63,1.35
Sample player 4,290.0,14.23,-30.79,6.06
Sample player 3,290.0,9.38,-20.44,1.11
Sample player 1,290.0,7.91,-28.49,2.01
Sample player 6,292.0,26.15,-11.81,1.81
Sample player 5,292.0,25.52,-18.61,1.23
Sample player 2,292.0,22.6,-3.74,1.54
Sample player 4,292.0,16.67,-28.47,3.37
Sample player 3,292.0,10.39,-21.07,1.19
Sample player 1,292.0,11.23,-30.24,3.75
Sample player 6,294.0,27.18,-12.31,1.14
Sample player 5,294.0,28.46,-19.68,3.13
Sample player 2,294.0,24.65,-4.89,2.35
Sample player 4,294.0,21.44,-29.37,4.85
Sample player 3,294.0,11.82,-22.2,1.82
Sample player 1,294.0,12.25,-29.11,1.52
Sample player 6,296.0,28.83,-12.29,1.65
Sample player 5,296.0,29.93,-20.89,1.9
Sample player 2,296.0,26.27,-5.11,1.63
Sample player 4,296.0,26.15,-29.37,4.71
Sample player 3,296.0,13.93,-23.67,2.57
Sample player 1,296.0,10.85,-26.12,3.3
Sample player 6,298.0,30.44,-11.87,1.66
Sample player 5,298.0,31.33,-19.84,1.75
Sample player 2,298.0,28.21,-4.65,1.99
Sample player 4,298.0,28.97,-28.46,2.96
Sample player 3,298.0,16.03,-25.05,2.51
Sample player 1,298.0,9.1,-23.63,3.04
Sample player 6,300.0,31.31,-11.54,0.93
Sample player 5,300.0,32.39,-20.86,1.47
Sample player 2,300.0,29.61,-3.49,1.82
Sample player 4,300.0,30.48,-27.98,1.58
Sample player 3,300.0,17.07,-25.49,1.13
Sample player 1,300.0,8.45,-21.67,2.06
Sample player 6,302.0,30.62,-12.23,0.98
Sample player 2,302.0,29.27,-2.82,0.75
Sample player 3,302.0,17.67,-25.58,0.61
Sample player 1,302.0,7.96,-23.17,1.58
Sample player 6,304.0,31.9,-14.13,2.29
Sample player 2,304.0,29.07,-3.61,0.81
Sample player 3,304.0,17.35,-25.67,0.33
Sample player 1,304.0,7.89,-24.24,1.07
Sample player 6,306.0,33.43,-15.04,1.78
Sample player 5,306.0,30.48,-24.79,4.37
Sample player 2,306.0,30.93,-5.28,2.5
Sample player 4,306.0,33.6,-28.21,3.13
Sample player 3,306.0,20.04,-24.87,2.81
Sample player 1,306.0,7.27,-24.82,0.85
Sample player 6,308.0,29.0,-12.95,4.9
Sample player 5,308.0,27.53,-23.03,3.44
Sample player 2,308.0,28.33,-4.43,2.74
Sample player 4,308.0,28.8,-28.15,4.8
Sample player 3,308.0,15.97,-26.16,4.27
